,BRA,IND,ZAF,POL
2022-02-17 00:00:00,0.7139651404475056,-0.7537064811224612,0.07769186893993753,-0.570121182111613
2022-02-18 00:00:00,0.6155978196112911,-0.752707030631298,0.09327996038625187,-0.6115730497121333
2022-02-21 00:00:00,0.5900611242362096,-0.8238989176488963,0.032818350331812976,-0.6470982637481351
2022-02-22 00:00:00,0.709181664895287,-0.853528368739672,0.046994137828956575,-0.682441652680882
2022-02-23 00:00:00,0.7721890647499657,-0.8177736190949525,0.0798823302510417,-0.672173310319992
2022-02-24 00:00:00,0.769241059763336,-1.112931102611361,-0.06400083457067689,-0.747337112844254
2022-02-25 00:00:00,0.5530722417439867,-1.1614234292823313,0.04100880957086568,-0.9098154104556321
2022-02-28 00:00:00,0.5065367547289213,-1.1889412424585801,0.07935063388536563,-1.032655239679852
2022-03-01 00:00:00,0.5070964127291658,-1.162351324799384,0.1368259823545279,-1.0017785312082363
2022-03-02 00:00:00,0.6279284681322276,-1.157152729980744,0.21852999179221935,-1.1032184628207948
2022-03-03 00:00:00,0.7918070558135648,-1.1865093743349193,0.17955936814462378,-1.130264591928571
2022-03-04 00:00:00,0.7563176087692979,-1.211729469770752,-0.18523934984322696,-1.280997991759527
2022-03-07 00:00:00,0.5449125080340692,-1.2360679528799106,-0.11637165011218807,-1.631255338880944
2022-03-08 00:00:00,0.5012202483582836,-1.2093030044462616,-0.20498718209275482,-1.6991478198974517
2022-03-09 00:00:00,0.6161490291094971,-1.2350736936309128,-0.1265070866496364,-1.5782989472377456
2022-03-10 00:00:00,0.6235472578125311,-1.4287384283561573,-0.13405021575663248,-1.410064577668057
2022-03-11 00:00:00,0.5061249569247788,-1.3951511276739195,-0.15040936751182177,-1.463346069994658
2022-03-14 00:00:00,0.3018918387195895,-1.3350870400516335,-0.3636980151621457,-1.509627097732893
2022-03-15 00:00:00,0.21765526193804907,-1.3481935435195298,-0.4719903271297491,-1.4410274236300198
2022-03-16 00:00:00,0.24564122158715038,-1.3606968326133808,-0.5112169267894986,-1.3947608811769758
2022-03-17 00:00:00,0.2848559101921549,-1.3785814976765867,-0.5134210762005021,-1.3059994975567883
2022-03-18 00:00:00,0.3820673564766942,-1.3754397996743546,-0.47229249832689996,-1.277525339137938
2022-03-21 00:00:00,0.46156554750979456,-1.3870979337901597,-0.46768148383280894,-1.3673773373254035
2022-03-22 00:00:00,0.5308304166944109,-1.3473961520706517,-0.4223070774285774,-1.3549770861588077
