,"('GDP growth (annual %)', 'Brazil')","('GDP growth (annual %)', 'India')","('GDP growth (annual %)', 'Poland')","('GDP growth (annual %)', 'South Africa')","('Inflation, consumer prices (annual %)', 'Brazil')","('Inflation, consumer prices (annual %)', 'India')","('Inflation, consumer prices (annual %)', 'Poland')","('Inflation, consumer prices (annual %)', 'South Africa')",ABEV3.SA,ANH.JO,BAJFINANCE.NS,BBDC4.SA,BHARTIARTL.NS,BHP,BRLUSD=X,CDR.WA,CFR.JO,DNP.WA,FSR.JO,GGBR4.SA,GLN.JO,HDB,HINDUNILVR.NS,ICICIBANK.NS,INFY,INRUSD=X,ITUB,KGH.WA,KOTAKBANK.NS,LPP.WA,LREN3.SA,MBK.WA,MGLU3.SA,MTN.JO,NPN.JO,PEO.WA,PETR4.SA,PKO.WA,PLNUSD=X,PZU.WA,RELIANCE.NS,RENT3.SA,SBIN.NS,SBK.JO,SOL.JO,SPL.WA,TCS.NS,TPE.WA,VALE,VOD.JO,WEGE3.SA,ZARUSD=X,^BVSP,^J203.JO,^NSEI,^WIG20
2021-02-22 00:00:00,,,,,,,,,11.546939849853516,94496.96875,526.6964721679688,13.788004875183105,547.1162109375,49.81611633300781,0.18584942817687988,243.72244262695312,,25.020000457763672,5052.04931640625,13.537185668945312,6278.11767578125,37.2027702331543,2009.0064697265625,589.83935546875,15.730123519897461,0.013783027417957783,2.6687698364257812,196.80894470214844,1941.4888916015625,6676.55810546875,26.543668746948242,218.39999389648438,220.0325469970703,7258.86669921875,74821.8671875,46.776798248291016,6.419596195220947,24.412893295288086,0.27047494053840637,20.26199722290039,910.5352783203125,53.15243148803711,359.39813232421875,13480.798828125,20113.841796875,165.9763641357422,2647.9833984375,2.634000062942505,10.642964363098145,12574.447265625,38.143455505371094,0.06822655349969864,112668.0,67362.8203125,14675.7001953125,1961.6199951171875
2021-02-23 00:00:00,,,,,,,,,11.63405704498291,94435.96875,527.3674926757812,14.44513988494873,542.5593872070312,50.52272033691406,0.183036208152771,243.34474182128906,,24.100000381469727,4985.2470703125,14.056169509887695,6116.140625,37.095951080322266,2019.80419921875,596.0776977539062,15.524673461914062,0.013803765177726746,2.8696444034576416,188.6670684814453,1865.15771484375,6605.7080078125,26.488277435302734,216.60000610351562,225.56739807128906,7214.91552734375,71895.9921875,46.310028076171875,7.127620697021484,23.8098087310791,0.27067703008651733,20.02655029296875,917.495361328125,53.33512878417969,365.02667236328125,13391.0859375,19455.666015625,161.7124481201172,2667.450439453125,2.5239999294281006,10.867599487304688,12541.533203125,38.576900482177734,0.06820259243249893,115227.0,65921.6015625,14707.7998046875,1922.5899658203125
2021-02-24 00:00:00,,,,,,,,,11.626137733459473,93996.9765625,544.9212646484375,14.343587875366211,549.6585083007812,51.22291946411133,0.18383704125881195,243.81689453125,,24.739999771118164,5052.04931640625,14.826445579528809,6166.1337890625,38.31745910644531,2019.4334716796875,620.06396484375,15.79265022277832,0.013816543854773045,2.8409478664398193,190.35157775878906,1903.248779296875,6597.37255859375,25.837495803833008,223.60000610351562,223.57122802734375,7139.00048828125,71298.859375,46.3948860168457,7.228342056274414,23.930423736572266,0.26960936188697815,20.11400032043457,934.5218505859375,52.673885345458984,374.8536071777344,13583.4677734375,20073.892578125,167.3976593017578,2638.719482421875,2.5239999294281006,10.95866870880127,12408.876953125,39.97869110107422,0.06871557980775833,115668.0,66200.7578125,14982.0,1937.9000244140625
2021-02-25 00:00:00,,,,,,,,,11.245990753173828,90707.078125,541.693603515625,14.032938957214355,555.6064453125,50.1308708190918,0.18508359789848328,237.5845184326172,,24.520000457763672,5067.005859375,14.220062255859375,6418.09716796875,37.99235153198242,2005.021240234375,607.3937377929688,15.533607482910156,0.013812154531478882,2.697465419769287,187.16970825195312,1887.6141357421875,6630.71337890625,25.802879333496094,224.8000030517578,218.21786499023438,7321.79638671875,71229.859375,48.23371505737305,6.869887351989746,24.581756591796875,0.2702220678329468,20.12745475769043,972.3153686523438,52.082237243652344,375.7763671875,13565.525390625,20235.689453125,168.18727111816406,2680.966552734375,2.5,10.564035415649414,12340.0546875,36.889225006103516,0.06905314326286316,112256.0,67483.7578125,15097.349609375,1936.469970703125
2021-02-26 00:00:00,,,,,,,,,11.103436470031738,87608.1875,515.7303466796875,13.740218162536621,533.6854248046875,48.76261520385742,0.18089643120765686,223.4201202392578,,24.6200008392334,5017.1533203125,14.132650375366211,6153.13525390625,36.75689697265625,1976.0577392578125,578.1363525390625,15.29243278503418,0.01367037184536457,2.614361524581909,177.2029266357422,1772.9429931640625,6522.35546875,25.38056182861328,221.60000610351562,219.39739990234375,7260.86376953125,70351.953125,47.95082092285156,6.588455677032471,24.23598861694336,0.26946914196014404,19.69019317626953,945.7669067382812,50.46391677856445,359.9978332519531,13257.51171875,18819.4609375,166.13426208496094,2590.5654296875,2.559999942779541,10.260470390319824,12425.8310546875,35.990055084228516,0.0666751116514206,110035.0,66138.046875,14529.150390625,1907.280029296875
2021-03-01 00:00:00,,,,,,,,,10.905445098876953,88944.140625,515.9163818359375,13.286187171936035,510.5650329589844,50.5933837890625,0.1786479949951172,226.9140167236328,,24.8799991607666,5140.78759765625,14.569682121276855,6210.12744140625,38.15026092529297,1986.5770263671875,588.3885498046875,15.774784088134766,0.013587713241577148,2.558342456817627,182.49046325683594,1837.722412109375,6584.869140625,25.73365020751953,234.39999389648438,222.75460815429688,7518.5751953125,72971.8671875,50.6666145324707,6.517358303070068,25.10443115234375,0.2675585448741913,20.470535278320312,952.9765014648438,51.47319412231445,364.4269104003906,13577.486328125,19475.640625,170.5561065673828,2617.327880859375,2.562000036239624,10.642964363098145,12492.6591796875,36.128692626953125,0.06649165600538254,110335.0,67536.9609375,14761.5498046875,1949.5699462890625
2021-03-02 00:00:00,,,,,,,,,11.07967758178711,88227.1640625,520.7653198242188,13.644326210021973,519.19921875,51.454158782958984,0.17728295922279358,227.85829162597656,,24.34000015258789,5189.642578125,14.766349792480469,6274.11767578125,38.4567985534668,2018.5986328125,590.4679565429688,16.096355438232422,0.013640815392136574,2.627643346786499,181.78857421875,1836.9755859375,6614.04345703125,25.87211036682129,236.0,220.21401977539062,7518.5751953125,74272.53125,50.63832473754883,6.514395236968994,24.73453712463379,0.2660706639289856,20.65889549255371,954.9262084960938,50.9859619140625,363.7348937988281,13717.0400390625,19274.892578125,171.34571838378906,2690.85693359375,2.553999900817871,10.897956848144531,12567.4658203125,35.69330596923828,0.06683732569217682,111540.0,68510.75,14919.099609375,1959.52001953125
2021-03-03 00:00:00,,,,,,,,,11.2222318649292,88877.140625,542.962158203125,13.763899803161621,524.0919189453125,52.03230285644531,0.17620834708213806,215.58245849609375,,24.219999313354492,5213.57177734375,14.71718978881836,6265.11865234375,38.322113037109375,2033.0111083984375,611.3592529296875,16.489383697509766,0.013646754436194897,2.6218676567077637,179.2617950439453,1891.597412109375,6505.6845703125,25.94826316833496,237.1999969482422,227.926513671875,7591.49365234375,75120.8359375,51.571876525878906,6.277400016784668,24.87928009033203,0.2665884494781494,20.685802459716797,998.5009765625,51.177371978759766,373.746337890625,13552.5673828125,19036.19140625,172.6090850830078,2738.07080078125,2.5480000972747803,10.85545825958252,12489.66796875,35.66551971435547,0.06701155006885529,111184.0,68326.7890625,15245.599609375,1943.239990234375
2021-03-04 00:00:00,,,,,,,,,11.705334663391113,91302.0703125,537.378662109375,14.296043395996094,517.6641845703125,50.06906509399414,0.17801514267921448,221.90924072265625,,24.440000534057617,5346.18017578125,14.700793266296387,6028.15234375,37.774051666259766,2036.1622314453125,600.3817138671875,16.2303409576416,0.01372105348855257,2.6969447135925293,174.1614227294922,1889.804931640625,6547.36083984375,27.229066848754883,238.1999969482422,230.8300323486328,7566.521484375,72185.9609375,51.09095764160156,6.5825324058532715,24.88732147216797,0.26520487666130066,20.739620208740234,986.598388671875,53.00450897216797,365.07281494140625,13681.154296875,19627.451171875,173.55662536621094,2729.65771484375,2.5899999141693115,10.624750137329102,12567.4658203125,33.9193115234375,0.066392682492733,112690.0,67743.5390625,15080.75,1944.8599853515625
2021-03-05 00:00:00,,,,,,,,,11.942925453186035,92661.015625,533.3624267578125,14.971674919128418,511.140625,50.31282424926758,0.17641973495483398,219.07635498046875,,24.479999542236328,5467.81884765625,15.088666915893555,6161.134765625,38.21528244018555,2040.05517578125,589.4525146484375,16.32859992980957,0.013673942536115646,2.795119047164917,173.3191375732422,1914.5015869140625,6518.18701171875,27.388301849365234,238.0,228.01724243164062,7593.4921875,71904.796875,50.49687957763672,6.63289213180542,24.999897003173828,0.26244309544563293,20.477262496948242,987.8906860351562,52.92620849609375,354.0002136230469,13881.5126953125,22365.02734375,169.92442321777344,2692.378173828125,2.549999952316284,11.264152526855469,12507.6201171875,33.831295013427734,0.065447598695755,115202.0,68271.1875,14938.099609375,1939.5899658203125
