,"('GDP growth (annual %)', 'Brazil')","('GDP growth (annual %)', 'India')","('GDP growth (annual %)', 'Poland')","('GDP growth (annual %)', 'South Africa')","('Inflation, consumer prices (annual %)', 'Brazil')","('Inflation, consumer prices (annual %)', 'India')","('Inflation, consumer prices (annual %)', 'Poland')","('Inflation, consumer prices (annual %)', 'South Africa')",ABEV3.SA,ANH.JO,BAJFINANCE.NS,BBDC4.SA,BHARTIARTL.NS,BHP,BRLUSD=X,CDR.WA,CFR.JO,DNP.WA,FSR.JO,GGBR4.SA,GLN.JO,HDB,HINDUNILVR.NS,ICICIBANK.NS,INFY,INRUSD=X,ITUB,KGH.WA,KOTAKBANK.NS,LPP.WA,LREN3.SA,MBK.WA,MGLU3.SA,MTN.JO,NPN.JO,PEO.WA,PETR4.SA,PKO.WA,PLNUSD=X,PZU.WA,RELIANCE.NS,RENT3.SA,SBIN.NS,SBK.JO,SOL.JO,SPL.WA,TCS.NS,TPE.WA,VALE,VOD.JO,WEGE3.SA,ZARUSD=X,^BVSP,^J203.JO,^NSEI,^WIG20,BRLUSD=X_volatility,INRUSD=X_volatility,PLNUSD=X_volatility,ZARUSD=X_volatility,^BVSP_volatility,^J203.JO_volatility,^NSEI_volatility,^WIG20_volatility
2020,-3.2767587964736,-5.77772470686801,-2.03556882399977,-6.1689177146757,3.21176803803373,6.62343677628536,3.37446972618589,3.23238831615119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,4.76260437908608,9.68959249192875,6.92718266052501,4.95503259440756,8.30165975585677,5.13140747176368,5.05502704719269,4.61874544887136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3.01669435393015,7.60936497768895,5.25545697386036,1.91147996033504,9.28010608956872,6.69903414079849,14.4294507575758,7.03987272546481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3.24165532906981,9.19075493028345,0.249610834017872,0.698485193724835,4.59356282283203,5.64914318907929,11.5289127961105,6.07524384579656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3.39586645454844,6.48422363033757,2.9233880806669,0.579853692303914,4.36746407652335,4.95303550973652,3.78426007512869,4.36115246518963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-01 00:00:00,,,,,,,,,12.97622299194336,103482.3984375,718.9027709960938,13.607674598693848,875.3363647460938,55.121620178222656,0.2116536498069763,159.0572509765625,284813.25,44.90999984741211,7281.15234375,22.01939010620117,10904.384765625,32.63701248168945,2453.442138671875,970.5222778320312,15.846572875976562,0.0121605237945914,4.572556018829346,119.71187591552734,1844.327880859375,12760.865234375,15.215594291687012,470.6000061035156,31.144699096679688,14014.083984375,70955.1953125,95.09671783447266,21.441341400146484,34.835533142089844,0.2499158978462219,32.25273132324219,1242.9769287109375,61.47568893432617,589.9134521484375,19066.75,24939.36328125,315.7530212402344,3264.968505859375,3.740000009536743,11.334614753723145,11820.880859375,38.31778335571289,0.0560060925781726,121248.0,78641.90625,19733.55078125,,0.1033852801078622,0.03136456580315084,0.09650332205995632,0.1595005457932775,0.15895001951394114,0.14121530291701181,0.08597230474964564,0.0
2023-08-02 00:00:00,,,,,,,,,13.036859512329102,103036.4140625,712.351318359375,13.664212226867676,862.0342407226562,53.97306060791016,0.2086811363697052,157.57350158691406,284796.25,44.400001525878906,7068.46875,21.717342376708984,10785.390625,32.216670989990234,2470.608642578125,963.1058959960938,15.582463264465332,0.012149590998888,4.557159423828125,115.79171752929688,1818.1083984375,12493.0908203125,15.501141548156738,461.2999877929688,30.236690521240234,12939.84375,68295.1328125,93.75789642333984,21.39228820800781,34.15315628051758,0.2476534247398376,31.39044570922852,1229.697509765625,61.6122932434082,576.993896484375,18348.00390625,24137.80078125,308.846923828125,3254.185791015625,3.694999933242798,11.134357452392578,11610.1142578125,38.481204986572266,0.054823987185955,120859.0,76477.21875,19526.55078125,,0.11127988782476408,0.031449961579682814,0.10046922601166311,0.16769695121414713,0.1581935037605331,0.1573236747515574,0.0928061673028609,0.0
2023-08-03 00:00:00,,,,,,,,,12.673039436340332,106363.359375,702.94677734375,13.565851211547852,855.75146484375,54.10871887207031,0.2078829258680343,160.9366455078125,287760.15625,44.7400016784668,7078.4541015625,21.51346015930176,10905.384765625,32.02340316772461,2453.634765625,941.6862182617188,15.57302951812744,0.0120870312675833,4.426295280456543,116.13472747802734,1817.6597900390625,11976.0068359375,15.134008407592772,458.7999877929688,28.693077087402344,12769.9638671875,69796.2578125,93.6361846923828,21.665565490722656,34.3604621887207,0.2462884485721588,31.422088623046875,1224.5291748046875,60.76530456542969,569.3289794921875,18212.240234375,24111.814453125,309.1681213378906,3215.69189453125,3.700999975204468,11.054253578186035,11525.208984375,38.86573028564453,0.054221998900175,120586.0,76747.203125,19381.650390625,,0.1104795982251244,0.03455383546008325,0.09790574746164155,0.17031682021569802,0.153906348896739,0.1559931545367376,0.09470553551392219,0.0
2023-08-04 00:00:00,,,,,,,,,12.742339134216309,104767.3828125,706.93701171875,12.664194107055664,873.3729858398438,54.16297912597656,0.2034008651971817,161.3323211669922,284862.21875,45.119998931884766,7138.365234375,21.196308135986328,10847.3876953125,32.28914260864258,2448.537353515625,947.0533447265624,15.761679649353027,0.0120795853435993,4.372410297393799,117.1637725830078,1834.3721923828125,12622.361328125,16.006973266601562,467.0,27.785066604614254,12797.9443359375,69096.296875,95.21842956542967,21.02092170715332,34.84416961669922,0.2457135319709777,31.691057205200195,1241.1717529296875,61.03852844238281,552.74560546875,19249.427734375,24476.6171875,315.4317626953125,3256.92919921875,3.7260000705718994,11.078285217285156,11453.2880859375,39.26948165893555,0.0536509454250335,119508.0,76960.609375,19517.0,,0.12649066071703075,0.03451800782128664,0.09807577744328133,0.16995371136639031,0.15632376559978678,0.15308592526240195,0.09398520381548149,0.0
2023-08-07 00:00:00,,,,,,,,,12.716352462768556,105598.375,704.3115234375,12.57402515411377,875.0910034179688,54.20819854736328,0.204691544175148,160.68934631347656,286145.1875,43.77000045776367,7174.3115234375,20.97732162475586,10880.3857421875,32.35195541381836,2470.849365234375,952.078857421875,15.827709197998049,0.0120925856754183,4.3262224197387695,115.39969635009766,1827.4378662109373,12548.4931640625,15.501141548156738,461.1000061035156,27.331064224243164,12691.0205078125,68333.7265625,95.13729095458984,21.154056549072266,34.45547866821289,0.2479974180459976,31.809720993041992,1248.244384765625,60.46475601196289,547.539306640625,19272.390625,24782.447265625,313.66510009765625,3295.234130859375,3.7909998893737793,11.110325813293455,11347.4052734375,39.34638214111328,0.0542334616184234,119380.0,77013.7421875,19597.30078125,,0.12803302826790008,0.034732199356323455,0.09862607525888319,0.16864313682285642,0.15521445465854716,0.15282641614037215,0.09428717410101971,0.0
2023-08-08 00:00:00,,,,,,,,,12.560428619384766,106425.359375,709.3993530273438,12.631403923034668,869.2007446289062,53.74697113037109,0.2041232883930206,158.11753845214844,283269.28125,43.290000915527344,7214.25146484375,20.350568771362305,10694.396484375,32.139366149902344,2467.627685546875,956.2262573242188,15.818276405334473,0.0120848407968878,4.287731170654297,112.75359344482422,1823.895751953125,12105.279296875,15.623519897460938,448.1000061035156,27.14946174621582,12610.0771484375,67447.1796875,91.24253845214844,21.175071716308597,33.86811828613281,0.2486964017152786,31.3667106628418,1240.7265625,60.446537017822266,552.552734375,19377.208984375,25004.326171875,306.7590026855469,3282.513671875,3.799999952316284,11.014202117919922,11363.3876953125,39.08684158325195,0.0534850880503654,119090.0,76837.4375,19570.849609375,,0.12745549986579943,0.03474733551826286,0.09888895390185219,0.1731952000037688,0.1542514136237275,0.15297281519925834,0.0933568550340861,0.0
2023-08-09 00:00:00,,,,,,,,,12.456480979919434,,704.6279296875,12.565829277038574,867.5318603515625,53.81027221679688,0.2041399478912353,153.61685180664062,,43.02000045776367,,19.52748680114746,,32.28914260864258,2454.5,957.0133056640624,15.761679649353027,0.0120707340538501,4.272339344024658,113.34161376953124,1827.387939453125,12391.521484375,14.930045127868652,448.3999938964844,26.96785926818848,,,91.1613998413086,21.34324073791504,33.85948181152344,0.2457847744226455,31.643590927124023,1248.911865234375,60.3099250793457,553.1795043945312,,,306.91961669921875,3274.852294921875,3.930000066757202,10.894046783447266,,39.20219039916992,0.0528890676796436,118409.0,,19632.55078125,,0.12513373891518678,0.03481546055659241,0.10452612785830298,0.1746025654674272,0.15368392140219833,0.15276715163527604,0.09123570657203559,0.0
2023-08-10 00:00:00,,,,,,,,,12.447816848754885,107114.34375,706.4573974609375,12.672389030456545,858.7946166992188,53.6474838256836,0.204010859131813,157.7713165283203,287427.15625,43.459999084472656,7293.13427734375,19.542585372924805,10864.38671875,32.16352081298828,2439.593505859375,948.552001953125,15.91260051727295,0.0120676318183541,4.31852388381958,113.92963409423828,1796.8067626953125,12603.89453125,15.272703170776367,452.2999877929688,25.878250122070312,12982.8134765625,69624.46875,92.09451293945312,21.46236038208008,34.16179656982422,0.2458639591932296,31.983762741088867,1254.475830078125,60.6104850769043,553.0831298828125,19594.830078125,26467.52734375,315.110595703125,3255.557373046875,3.984999895095825,10.81394386291504,11439.3037109375,38.68308639526367,0.0527664944529533,118350.0,77749.6796875,19543.099609375,,0.12300502097075598,0.03481628905455103,0.09999606200551336,0.17389132412274486,0.14780541399760314,0.15602337248152523,0.0926821122291829,0.0
2023-08-11 00:00:00,,,,,,,,,12.439156532287598,106538.359375,698.2247924804688,12.598614692687988,858.548095703125,53.3219108581543,0.2044362723827362,155.54571533203125,280446.375,43.150001525878906,7243.208984375,19.376462936401367,10651.3984375,32.0427360534668,2406.029541015625,937.4833984375,15.733384132385254,0.0120773101225495,4.295432090759277,111.67554473876952,1787.427734375,12373.0546875,15.101377487182615,448.7000122070313,26.15065193176269,12940.8427734375,67123.3984375,91.12083435058594,21.413311004638672,33.686729431152344,0.2472731471061706,31.88883209228516,1259.767822265625,60.66511917114258,553.565185546875,19542.916015625,26860.3125,310.2923583984375,3261.89453125,3.983000040054321,10.669756889343262,11314.4423828125,38.26010894775391,0.0531352423131465,118065.0,76974.2578125,19428.30078125,,0.12317901231717214,0.03496144713331957,0.10106659334894157,0.17419004996800017,0.14779191791202648,0.15360237561891227,0.08927023416247279,0.0
2023-08-14 00:00:00,,,,,,,,,12.413168907165527,107251.34375,694.0170288085938,12.533040046691896,855.0963745117188,52.30900955200195,0.2036245316267013,155.54571533203125,280676.375,43.33000183105469,7178.3056640625,19.51238250732422,10479.4072265625,31.781063079833984,2436.13134765625,944.0753784179688,15.903169631958008,0.0120631186291575,4.195358276367188,110.25448608398438,1790.0718994140625,12169.9150390625,14.334477424621582,448.1000061035156,25.78744888305664,13576.3935546875,66512.828125,89.09232330322266,21.46936798095703,33.34122085571289,0.246929183602333,31.667325973510746,1274.6546630859375,58.53396987915039,540.6937866210938,19309.326171875,25436.091796875,310.934814453125,3262.887451171875,4.039999961853027,10.302918434143066,11370.3798828125,37.78907012939453,0.0528451837599277,116810.0,76160.8671875,19434.55078125,,0.11489206881590411,0.03505487531047067,0.09959729900646129,0.17451178396193515,0.14527238151776034,0.15669955968866242,0.08709843524835262,0.0
